Dataset,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
ALLAML,0.94857143,0.95819048,0.94876190,0.93152381,0.93304762,0.91942857,0.92742857,0.91323810,0.91895238,0.90628571,0.95523810,0.96352381,0.95580952,0.96085714,0.96219048,0.96638095,0.96514286,0.96933333,0.96790476,0.96219048
CLL_SUB_111,0.69470356,0.74632411,0.70743083,0.70474308,0.71932806,0.70640316,0.73339921,0.73711462,0.73980237,0.75873518,0.73699605,0.75063241,0.74426877,0.75683794,0.73905138,0.74707510,0.71806324,0.74501976,0.73936759,0.73992095
COIL20,0.99534722,0.99881944,0.99847222,0.99868056,0.99875000,0.99895833,0.99895833,0.99909722,0.99916667,0.99888889,0.99881944,0.99861111,0.99868056,0.99902778,0.99888889,0.99902778,0.99895833,0.99861111,0.99881944,0.99916667
Carcinom,0.88226891,0.86794958,0.85986555,0.87142857,0.86563025,0.86675630,0.86566387,0.86104202,0.86152941,0.87253782,0.87078992,0.87139496,0.87828571,0.87134454,0.87653782,0.88055462,0.86563025,0.87712605,0.87194958,0.87816807
GLIOMA,0.76200000,0.75000000,0.76600000,0.76000000,0.77600000,0.75400000,0.77400000,0.75200000,0.78000000,0.78600000,0.77000000,0.77600000,0.76000000,0.77200000,0.75800000,0.78200000,0.76000000,0.76800000,0.76200000,0.75400000
GLI_85,0.86117647,0.85764706,0.86117647,0.85058824,0.86705882,0.86470588,0.86352941,0.85411765,0.86000000,0.85882353,0.85294118,0.85647059,0.86000000,0.86000000,0.86352941,0.86823529,0.86470588,0.86000000,0.86705882,0.87294118
Isolet,0.80750000,0.86788462,0.90211538,0.91134615,0.91903846,0.92820513,0.92602564,0.92544872,0.92506410,0.92775641,0.92596154,0.92871795,0.92782051,0.92923077,0.93198718,0.93275641,0.93314103,0.93358974,0.93801282,0.93967949
ORL,0.91375000,0.93775000,0.94275000,0.94875000,0.95175000,0.94800000,0.94750000,0.94825000,0.95025000,0.94750000,0.95075000,0.95125000,0.95175000,0.95075000,0.95025000,0.95300000,0.95300000,0.94925000,0.95050000,0.95225000
Prostate_GE,0.87490476,0.90047619,0.89552381,0.91314286,0.90428571,0.90709524,0.90433333,0.90438095,0.90333333,0.89742857,0.90333333,0.89757143,0.90052381,0.89738095,0.90623810,0.91504762,0.90723810,0.91109524,0.91390476,0.91309524
SMK_CAN_187,0.68654339,0.68601707,0.68554765,0.67815078,0.68243243,0.67651494,0.66267425,0.68455192,0.68234708,0.68226174,0.68651494,0.68179232,0.68083926,0.67859175,0.67551920,0.67584637,0.68556188,0.68403983,0.67448080,0.67911807
TOX_171,0.75040336,0.78191597,0.77495798,0.79598319,0.80472269,0.80460504,0.80763025,0.79847059,0.80122689,0.80082353,0.80596639,0.80359664,0.79023529,0.79541176,0.79374790,0.80297479,0.78430252,0.78900840,0.79131092,0.79477311
Yale,0.70242424,0.76848485,0.76787879,0.76969697,0.75818182,0.76424242,0.76181818,0.77333333,0.76121212,0.76545455,0.77090909,0.76545455,0.76969697,0.76666667,0.76121212,0.77454545,0.76242424,0.77090909,0.77696970,0.76727273
arcene,0.84500000,0.83200000,0.83350000,0.82350000,0.81100000,0.79200000,0.78600000,0.78600000,0.79250000,0.79100000,0.80400000,0.80250000,0.80200000,0.81300000,0.81150000,0.81500000,0.81150000,0.81550000,0.81950000,0.81350000
colon,0.81397436,0.81397436,0.82166667,0.82166667,0.79743590,0.80243590,0.81525641,0.81717949,0.81730769,0.79743590,0.81192308,0.81512821,0.81192308,0.81179487,0.81038462,0.80564103,0.81538462,0.81564103,0.82346154,0.80102564
gisette,0.96077143,0.97298571,0.97551429,0.97574286,0.97407143,0.97258571,0.97138571,0.97057143,0.96968571,0.96842857,0.96817143,0.96840000,0.96878571,0.96900000,0.96975714,0.97077143,0.97172857,0.97220000,0.97172857,0.97175714
leukemia,0.94380952,0.96485714,0.96190476,0.96352381,0.94838095,0.94828571,0.94828571,0.93342857,0.93590476,0.92895238,0.93942857,0.92352381,0.90561905,0.95095238,0.94600000,0.96638095,0.96076190,0.96609524,0.96657143,0.95228571
lung,0.91680488,0.93153659,0.92270732,0.92418293,0.92171951,0.92469512,0.92170732,0.91979268,0.92069512,0.92028049,0.91479268,0.92071951,0.92165854,0.92760976,0.92763415,0.92710976,0.92909756,0.93104878,0.92712195,0.92664634
lung_discrete,0.82104762,0.82276190,0.85161905,0.83923810,0.83657143,0.83952381,0.83285714,0.84095238,0.84095238,0.85952381,0.84885714,0.85114286,0.85247619,0.85819048,0.84333333,0.84495238,0.84371429,0.85133333,0.84209524,0.83647619
madelon,0.86253846,0.81446154,0.76307692,0.74188462,0.71653846,0.69823077,0.69300000,0.68242308,0.67653846,0.66000000,0.65619231,0.65453846,0.64715385,0.64223077,0.63576923,0.63726923,0.63119231,0.68038462,0.69219231,0.70330769
orlraws10P,0.96500000,0.96700000,0.96500000,0.96800000,0.96900000,0.97100000,0.97400000,0.97200000,0.97200000,0.96900000,0.97200000,0.97200000,0.97100000,0.97200000,0.96900000,0.96800000,0.97000000,0.96800000,0.97300000,0.97400000
pixraw10P,0.98400000,0.98400000,0.98200000,0.98600000,0.98500000,0.98400000,0.97800000,0.98000000,0.98000000,0.98200000,0.98300000,0.98300000,0.98200000,0.98200000,0.98200000,0.98000000,0.98400000,0.98500000,0.98500000,0.98200000
warpAR10P,0.83923077,0.88461538,0.88846154,0.87230769,0.87846154,0.88615385,0.88000000,0.88230769,0.89076923,0.88692308,0.89000000,0.89461538,0.89230769,0.88461538,0.88769231,0.89923077,0.89769231,0.88153846,0.89615385,0.89384615
warpPIE10P,0.98285714,0.99047619,0.98809524,0.98714286,0.98428571,0.98238095,0.98809524,0.99000000,0.98761905,0.98809524,0.98714286,0.98857143,0.98714286,0.98523810,0.98619048,0.98523810,0.98571429,0.98190476,0.98333333,0.98571429
